TICKER	DATE	OPEN	HIGH	LOW	CLOSE	VOL	WAPRICE
RTSI	1997-07-11	501.62	501.62	493.34	493.34		
RTSI	1997-07-14	491.71	491.71	475.54	475.54		
RTSI	1997-07-15	474.67	475.72	469.7	469.7		
RTSI	1997-07-16	468.16	468.16	452.85	452.85		
RTSI	1997-07-17	451.83	462.37	451.83	462.37		
RTSI	1997-07-18	463.28	473.12	463.28	473.12		
RTSI	1997-07-21	473.91	473.91	468.66	468.66		
RTSI	1997-07-22	468.47	472.19	468.1	472.19		
RTSI	1997-07-23	472.97	492.6	472.97	492.6		
RTSI	1997-07-24	493.01	497.82	493.01	497.82		
RTSI	1997-07-25	498.52	509.47	498.52	509.47		
RTSI	1997-07-28	509.68	516.63	509.68	516.63		
RTSI	1997-07-29	517.12	519.19	517.12	517.54		
RTSI	1997-07-30	516.34	516.34	508.12	508.12		
RTSI	1997-07-31	506.63	506.63	504.74	506.45		
RTSI	1997-08-01	507.42	510.2	507.42	510.2		
RTSI	1997-08-04	511.4	518.31	511.4	518.31		
RTSI	1997-08-05	518.44	526.2	518.44	526.2		
RTSI	1997-08-06	526.38	533.86	526.38	533.86		
RTSI	1997-08-07	534.29	559.86	534.29	559.86		
RTSI	1997-08-08	561.8	570.66	561.8	569.23		
RTSI	1997-08-11	569.06	569.06	554.2	554.2		
RTSI	1997-08-12	554.12	558.52	554.12	557.99		
RTSI	1997-08-13	557.64	557.64	552.62	552.62		
RTSI	1997-08-14	551.79	555.23	551.79	555.23		
RTSI	1997-08-15	555.66	563.14	555.66	563.14		
RTSI	1997-08-18	563.45	563.45	544.69	544.69		
RTSI	1997-08-19	541.64	542.01	536.31	536.31		
RTSI	1997-08-20	537.19	537.19	527.72	527.72		
RTSI	1997-08-21	527.22	538.46	527.22	538.46		
RTSI	1997-08-22	538.56	538.56	525.25	525.25		
RTSI	1997-08-25	525.01	525.01	520.72	521.04		
RTSI	1997-08-26	520.5	521.08	516.23	516.23		
RTSI	1997-08-27	515.46	515.46	500	500		
RTSI	1997-08-28	500	500	495.73	495.73		
RTSI	1997-08-29	494.52	494.52	474.8	474.8		
RTSI	1997-09-01	473.13	473.13	453.22	453.22		
RTSI	1997-09-02	452.7	471.78	452.7	471.78		
RTSI	1997-09-03	475.05	501.79	475.05	501.79		
RTSI	1997-09-04	503.15	503.15	487.78	487.78		
RTSI	1997-09-05	486.88	488.9	486.88	488.46		
RTSI	1997-09-08	488.63	497.53	488.63	497.53		
RTSI	1997-09-09	497.93	505.84	497.93	505.84		
RTSI	1997-09-10	506.16	506.16	504.77	504.77		
RTSI	1997-09-11	504.59	504.59	489.44	489.44		
RTSI	1997-09-12	488.31	488.31	482.4	483.75		
RTSI	1997-09-15	484.1	487.33	484.1	486.9		
RTSI	1997-09-16	487.03	490.47	486.81	490.47		
RTSI	1997-09-17	491.17	494.48	491.17	494.48		
RTSI	1997-09-18	494.21	494.21	489.69	489.69		
RTSI	1997-09-19	489.32	492.89	489.32	492.89		
RTSI	1997-09-22	492.86	496.4	492.86	496.4		
RTSI	1997-09-23	496.47	501.26	496.47	501.26		
RTSI	1997-09-24	501.21	501.21	496.92	496.92		
RTSI	1997-09-25	496.84	496.84	495.15	495.15		
RTSI	1997-09-26	495.05	495.05	491.42	491.42		
RTSI	1997-09-29	491.41	492.86	490.38	492.86		
RTSI	1997-09-30	493.11	498.42	493.11	498.42		
RTSI	1997-10-01	498.6	503.96	498.6	503.96		
RTSI	1997-10-02	504.92	525.73	504.92	525.73		
RTSI	1997-10-03	526.86	552.14	526.86	552.14		
RTSI	1997-10-06	554.95	571.66	554.95	571.66		
RTSI	1997-10-07	570.93	570.93	559.51	559.51		
RTSI	1997-10-08	559.09	559.09	552.66	552.88		
RTSI	1997-10-09	551.67	551.67	533.62	533.62		
RTSI	1997-10-10	532.17	532.17	527.78	527.78		
RTSI	1997-10-13	528.08	535.65	527.94	535.65		
RTSI	1997-10-14	536.73	544.89	536.73	544.89		
RTSI	1997-10-15	544.92	544.92	539.56	539.56		
RTSI	1997-10-16	539.54	540.18	537.07	537.07		
RTSI	1997-10-17	537.01	537.01	532.9	532.9		
RTSI	1997-10-20	532.5	532.5	526.54	526.61		
RTSI	1997-10-21	526.97	538.01	526.97	538.01		
RTSI	1997-10-22	539.81	550.44	539.81	550.44		
RTSI	1997-10-23	550.42	550.42	528.5	528.5		
RTSI	1997-10-24	525.97	525.97	517.66	518.29		
RTSI	1997-10-27	518.15	519.26	485.16	485.16		
RTSI	1997-10-28	468.17	468.17	392.86	392.86		
RTSI	1997-10-29	396.52	454.34	396.52	454.34		
RTSI	1997-10-30	456.34	456.34	427.2	427.2		
RTSI	1997-10-31	417	422.26	415.55	422.26		
RTSI	1997-11-03	424.25	440.82	424.25	440.82		
RTSI	1997-11-04	443.05	444.67	441.61	441.61		
RTSI	1997-11-05	440.16	441.33	438.8	440.97		
RTSI	1997-11-06	441.03	441.52	438.34	438.34		
RTSI	1997-11-10	434.22	434.22	402.1	402.1		
RTSI	1997-11-11	400.46	400.46	385.69	385.69		
RTSI	1997-11-12	383.68	383.68	350.01	350.01		
RTSI	1997-11-13	346.9	346.9	341.27	344.8		
RTSI	1997-11-14	345.49	348.46	342.07	342.07		
RTSI	1997-11-17	341.09	341.09	338.89	339.39		
RTSI	1997-11-18	341.15	360.31	341.15	360.31		
RTSI	1997-11-19	360.57	360.57	352.1	352.1		
RTSI	1997-11-20	351.33	360.73	350.65	360.73		
RTSI	1997-11-21	362.27	382.59	362.27	382.59		
RTSI	1997-11-24	383.23	383.23	368.47	368.47		
RTSI	1997-11-25	366.69	366.69	347.04	347.04		
RTSI	1997-11-26	347.6	356.81	347.6	356.81		
RTSI	1997-11-27	356.16	356.16	340.03	340.03		
RTSI	1997-11-28	339.61	339.61	328.49	328.49		
RTSI	1997-12-01	328.25	331.31	322.91	322.91		
RTSI	1997-12-02	322.34	322.34	319.6	320.38		
RTSI	1997-12-03	321.38	340.22	321.38	340.22		
RTSI	1997-12-04	341.63	361.79	341.63	361.79		
RTSI	1997-12-05	363.82	382.42	363.82	382.42		
RTSI	1997-12-08	382.83	388.13	380.79	388.13		
RTSI	1997-12-09	389.67	389.81	387.34	387.34		
RTSI	1997-12-10	386.98	386.98	369.16	369.16		
RTSI	1997-12-11	366.24	366.24	339.25	339.25		
RTSI	1997-12-15	338.05	361.24	338.05	361.24		
RTSI	1997-12-16	363.2	373.91	363.2	373.91		
RTSI	1997-12-17	376.62	383.6	376.62	383.6		
RTSI	1997-12-18	384.51	384.51	379.86	379.86		
RTSI	1997-12-19	377.8	377.8	354.41	354.41		
RTSI	1997-12-22	352.87	355.91	347.49	355.91		
RTSI	1997-12-23	356.96	371.85	356.96	371.85		
RTSI	1997-12-24	371.64	371.64	368.8	370.41		
